Randomization - Using given seed 1234567890
Swapping creatures 06_elder (earth_world_rotting_cavern) and 00_winged_worm (earth_world_rotting_cavern)
Swapping creatures 04_cannon_snail (fire_world_ashen_cavern) and 02_elder (earth_world_rotting_cavern)
Swapping creatures 02_blood_slime (fire_world_phoenix_cave) and 01_blood_skull (water_world_sunken_river_area)
Swapping creatures 0a_bone_wolf (death_world_gate_of_the_dead) and 0a_cursed_demon (human_world_cursed_region)
Swapping creatures 04_great_frog (death_world_undead_layer) and 02_karasu (illusion_world_gloomy_domain)
Swapping creatures 0a_horned_slime (human_world_hidden_region) and 0c_old_face (water_world_watery_labyrinth_area)
Swapping creatures 04_tree_ogre (death_world_dark_castle_layer) and 0a_old_face (water_world_watery_labyrinth_area)
Swapping creatures 0d_dark_spider (human_world_solitary_region) and 00_dark_spider (human_world_solitary_region)
Swapping creatures 04_king_hopper (water_world_impure_pool_area) and 04_zygote (death_world_gate_of_the_dead)
Swapping creatures 05_hobble_worm (earth_world_stone_cavern) and 00_black_onyx (death_world_gate_of_the_dead)
Swapping creatures 0d_slasher (earth_world_false_pit_cavern) and 0c_worm_face (water_world_impure_pool_area)
Swapping creatures 0a_old_face (death_world_dark_castle_layer) and 06_warpoor (illusion_world_worship_domain)
Swapping creatures 0c_saurian_warrior_a (monster_world_false_eye_area) and 00_berzerker (fire_world_burning_cavern)
Swapping creatures 01_dark_spirits (illusion_world_gloomy_domain) and 00_hell_hunter (water_world_watery_labyrinth_area)
Swapping creatures 0d_hatchlin (human_world_hidden_region) and 08_wyvern (human_world_hidden_region)
Swapping creatures 02_fire_jinn (fire_world_phoenix_cave) and 05_armored_jinn (death_world_dark_castle_layer)
Swapping creatures 01_berzerker (earth_world_stone_cavern) and 08_star_serpent (death_world_gate_of_the_dead)
Swapping creatures 01_myconid (fire_world_ashen_cavern) and 0d_dark_spider (human_world_solitary_region)
Swapping creatures 02_parasite (monster_world_false_eye_area) and 05_cocoon_plant (earth_world_rotting_cavern)
Swapping creatures 0a_ruby_demon (monster_world_screeching_area) and 06_hell_warrior (earth_world_rotting_cavern)
Swapping creatures 04_kabasaur (fire_world_molten_cavern) and 0e_watcher_plant (human_world_solitary_region)
Swapping creatures 00_sand_leech_a (earth_world_quaking_cavern) and 04_king_hopper (death_world_gate_of_the_dead)
Swapping creatures 01_berzerker (death_world_gate_of_the_dead) and 05_blood_skull (human_world_forgotten_region)
Swapping creatures 0e_mystic_tower (fire_world_burning_cavern) and 00_dark_spider (human_world_solitary_region)
Swapping creatures 05_water_knight (earth_world_quaking_cavern) and 04_night_howler (earth_world_rotting_cavern)
Swapping creatures 05_horned_skull (fire_world_ashen_cavern) and 02_skeleton (human_world_forgotten_region)
Swapping creatures 00_red_puppet (illusion_world_dream_domain) and 0a_armored_slayer (monster_world_screeching_area)
Swapping creatures 08_hermit_crab (monster_world_screeching_area) and 01_doriwi (illusion_world_worship_domain)
Swapping creatures 0a_horned_slime (water_world_watery_labyrinth_area) and 05_blood_brain (fire_world_burning_cavern)
Swapping creatures 05_dweller (fire_world_burning_cavern) and 0a_warpoor (illusion_world_gloomy_domain)
Swapping creatures 01_earth_knight (human_world_solitary_region) and 09_dementor (earth_world_false_pit_cavern)
Swapping creatures 08_star_serpent (earth_world_stone_cavern) and 02_horned_slime (water_world_watery_labyrinth_area)
Swapping creatures 0a_dweller (water_world_impure_pool_area) and 05_hobble_worm (death_world_gate_of_the_dead)
Swapping creatures 0a_old_face (illusion_world_worship_domain) and 08_clay_servant (earth_world_hostile_rock_cavern)
Swapping creatures 09_armored_warrior (death_world_gate_of_the_dead) and 0c_saurian_warrior_a (fire_world_burning_cavern)
Swapping creatures 09_cross_breed (water_world_watery_labyrinth_area) and 05_master_howler (human_world_forgotten_region)
Swapping creatures 0d_trickster (earth_world_poisonous_cavern) and 0a_mystic_tower (fire_world_burning_cavern)
Swapping creatures 01_horned_slime (monster_world_false_eye_area) and 00_master_knight (fire_world_molten_cavern)
Swapping creatures 05_armored_warrior (illusion_world_gloomy_domain) and 0d_cocoon_plant (earth_world_false_pit_cavern)
Swapping creatures 0a_skeleton (human_world_forgotten_region) and 01_doriwi (monster_world_screeching_area)
Swapping creatures 05_armored_warrior (earth_world_false_pit_cavern) and 08_torg (earth_world_quaking_cavern)
Swapping creatures 0a_barrel_snail (illusion_world_worship_domain) and 02_blood_slime (water_world_sunken_river_area)
Swapping creatures 08_oxelus (monster_world_screeching_area) and 04_great_frog (illusion_world_gloomy_domain)
Swapping creatures 05_dark_spirits (water_world_watery_labyrinth_area) and 0d_slasher (water_world_impure_pool_area)
Swapping creatures 00_acid_skull (human_world_solitary_region) and 05_blood_brain (water_world_watery_labyrinth_area)
Swapping creatures 0a_cursed_demon (death_world_gate_of_the_dead) and 08_wyvern (human_world_hidden_region)
Swapping creatures 02_bone_wolf (illusion_world_gloomy_domain) and 05_dweller (illusion_world_gloomy_domain)
Swapping creatures 05_blood_brain (human_world_solitary_region) and 05_armored_warrior (earth_world_quaking_cavern)
Swapping creatures 05_armored_warrior (human_world_solitary_region) and 04_demon_warrior (fire_world_burning_cavern)
Swapping creatures 04_king_hopper (earth_world_quaking_cavern) and 09_koazul (water_world_impure_pool_area)
Swapping creatures 09_iron_crusher (fire_world_burning_cavern) and 05_doriwi (human_world_solitary_region)
Swapping creatures 01_berzerker (human_world_forgotten_region) and 00_red_puppet (monster_world_screeching_area)
Swapping creatures 04_cannon_snail (earth_world_rotting_cavern) and 0e_manna_python (earth_world_hostile_rock_cavern)
Swapping creatures 01_berzerker (monster_world_screeching_area) and 0d_saurian_warrior_b (monster_world_false_eye_area)
Swapping creatures 0e_dinogon (death_world_dark_castle_layer) and 06_skeleton (human_world_forgotten_region)
Swapping creatures 01_shadow_spider (human_world_cursed_region) and 01_acid_pod (earth_world_poisonous_cavern)
Swapping creatures 0d_bugler (monster_world_false_eye_area) and 05_blood_brain (earth_world_quaking_cavern)
Swapping creatures 05_horned_slime (water_world_watery_labyrinth_area) and 08_clay_servant (illusion_world_worship_domain)
Swapping creatures 01_earth_knight (earth_world_false_pit_cavern) and 0a_dweller (death_world_gate_of_the_dead)
Swapping creatures 0a_horned_slime (fire_world_burning_cavern) and 04_great_frog (monster_world_screeching_area)
Swapping creatures 0a_armored_slayer (illusion_world_dream_domain) and 01_stack_eyes (illusion_world_worship_domain)
Swapping creatures 02_mystic_tower (death_world_dark_castle_layer) and 06_skeleton (water_world_watery_labyrinth_area)
Swapping creatures 0c_gaze_hopper (earth_world_false_pit_cavern) and 0e_acid_slime (earth_world_quaking_cavern)
Swapping creatures 05_doriwi (fire_world_burning_cavern) and 00_red_puppet (human_world_forgotten_region)
Swapping creatures 09_dwarf_warrior (earth_world_quaking_cavern) and 0a_old_face (earth_world_hostile_rock_cavern)
Swapping creatures 02_sand_leech_b (death_world_lingering_curse_layer) and 02_horned_slime (earth_world_stone_cavern)
Swapping creatures 02_sand_leech_b (earth_world_stone_cavern) and 00_dark_spirits (illusion_world_gloomy_domain)
Swapping creatures 05_cocoon_plant (monster_world_false_eye_area) and 0d_tondrom (earth_world_rotting_cavern)
Swapping creatures 02_elder (fire_world_ashen_cavern) and 06_skeleton (death_world_dark_castle_layer)
Swapping creatures 01_blood_slime (fire_world_molten_cavern) and 00_acid_skull (water_world_watery_labyrinth_area)
Swapping creatures 0d_crying_root (water_world_impure_pool_area) and 0a_bone_wolf (human_world_cursed_region)
Swapping creatures 08_dark_spider (death_world_dark_castle_layer) and 06_oblid (monster_world_screeching_area)
Swapping creatures 09_armored_warrior (fire_world_burning_cavern) and 06_armored_slayer (monster_world_false_eye_area)
Swapping creatures 04_night_howler (earth_world_quaking_cavern) and 0d_hatchlin (human_world_hidden_region)
Swapping creatures 0c_old_face (human_world_hidden_region) and 0a_barrel_snail (water_world_sunken_river_area)
Swapping creatures 09_cross_breed (human_world_forgotten_region) and 02_horned_slime (death_world_lingering_curse_layer)
Swapping creatures 0a_skeleton (monster_world_screeching_area) and 0e_watcher_plant (fire_world_molten_cavern)
Swapping creatures 0a_warpoor (fire_world_burning_cavern) and 06_skeleton (death_world_dark_castle_layer)
Swapping creatures 05_dwarfling (human_world_hidden_region) and 05_hell_hunter (fire_world_molten_cavern)
Swapping creatures 01_acid_pod (human_world_cursed_region) and 08_ring_demon (fire_world_phoenix_cave)
Swapping creatures 08_war_demon_1 (water_world_impure_pool_area) and 05_blood_slime (fire_world_ashen_cavern)
Swapping creatures 05_blood_brain (monster_world_false_eye_area) and 04_dark_spirits (monster_world_screeching_area)
Swapping creatures 05_blood_skull (death_world_gate_of_the_dead) and 05_master_howler (water_world_watery_labyrinth_area)
Swapping creatures 0e_manna_python (earth_world_rotting_cavern) and 02_parasite (earth_world_rotting_cavern)
Swapping creatures 02_fire_jinn (death_world_dark_castle_layer) and 02_blood_slime (illusion_world_worship_domain)
Swapping creatures 00_sand_leech_a (death_world_gate_of_the_dead) and 01_horned_skull (earth_world_hostile_rock_cavern)
Swapping creatures 0d_trickster (fire_world_burning_cavern) and 01_acid_slime (human_world_hidden_region)
Swapping creatures 06_hell_warrior (monster_world_screeching_area) and 01_berzerker (monster_world_false_eye_area)
Swapping creatures 08_dark_spider (monster_world_screeching_area) and 01_acid_pod (fire_world_phoenix_cave)
Swapping creatures 06_skeleton (fire_world_ashen_cavern) and 05_horned_slime (illusion_world_worship_domain)
Swapping creatures 04_minor_dwarf (water_world_white_rain_area) and 05_horned_skull (human_world_forgotten_region)
Swapping creatures 02_blood_slime (death_world_dark_castle_layer) and 0c_old_face (water_world_sunken_river_area)
Swapping creatures 09_steel_servant (fire_world_burning_cavern) and 08_dark_spider (earth_world_poisonous_cavern)
Swapping creatures 09_dementor (human_world_solitary_region) and 02_tongue_imp (fire_world_burning_cavern)
Swapping creatures 05_dweller (illusion_world_gloomy_domain) and 01_chirper (monster_world_false_eye_area)
Swapping creatures 0d_slasher (water_world_watery_labyrinth_area) and 05_blood_slime (water_world_impure_pool_area)
Swapping creatures 09_shadow_spider (earth_world_false_pit_cavern) and 08_war_demon_1 (fire_world_ashen_cavern)
Swapping creatures 00_hell_hunter (illusion_world_gloomy_domain) and 02_tongue_imp (human_world_solitary_region)
Swapping creatures 0c_maristella (earth_world_quaking_cavern) and 09_imp (earth_world_rotting_cavern)
Swapping creatures 00_dark_spider (fire_world_burning_cavern) and 09_cross_breed (death_world_lingering_curse_layer)
Swapping creatures 0d_cocoon_plant (illusion_world_gloomy_domain) and 09_cross_breed (fire_world_burning_cavern)
Swapping creatures 04_kabasaur (human_world_solitary_region) and 05_warden (illusion_world_bewilderment_domain)
Swapping creatures 0d_damned_angel (death_world_gate_of_the_dead) and 0d_trickster (human_world_hidden_region)
Swapping creatures 02_bone_wolf (illusion_world_gloomy_domain) and 01_beak_plant (human_world_cursed_region)
Swapping creatures 05_warden (human_world_solitary_region) and 04_demon_warrior (human_world_solitary_region)
Swapping creatures 09_steel_servant (earth_world_poisonous_cavern) and 09_cocoon_plant (illusion_world_bewilderment_domain)
Swapping creatures 0d_trickster (death_world_gate_of_the_dead) and 08_star_serpent (water_world_watery_labyrinth_area)
Swapping creatures 08_ring_demon (human_world_cursed_region) and 0d_dark_spider (fire_world_ashen_cavern)
Swapping creatures 0a_armored_slayer (illusion_world_worship_domain) and 05_water_knight (earth_world_rotting_cavern)
Swapping creatures 05_horned_skull (water_world_white_rain_area) and 0d_dark_spider (human_world_cursed_region)
Swapping creatures 0a_ruby_demon (earth_world_rotting_cavern) and 08_torg (earth_world_false_pit_cavern)
Swapping creatures 02_horned_slime (human_world_forgotten_region) and 0a_old_face (earth_world_quaking_cavern)
Swapping creatures 05_doriwi (human_world_forgotten_region) and 04_cannon_snail (earth_world_hostile_rock_cavern)
Swapping creatures 0e_dinogon (human_world_forgotten_region) and 06_mystic_tower (human_world_solitary_region)
Swapping creatures 02_blood_brain (water_world_impure_pool_area) and 05_doriwi (earth_world_hostile_rock_cavern)
Swapping creatures 00_earth_knight (earth_world_rotting_cavern) and 02_horned_slime (earth_world_quaking_cavern)
Swapping creatures 05_master_howler (death_world_gate_of_the_dead) and 09_imp (earth_world_quaking_cavern)
Swapping creatures 0c_saurian_warrior_a (death_world_gate_of_the_dead) and 09_shadow_spider (fire_world_ashen_cavern)
Swapping creatures 01_dark_spirits (water_world_watery_labyrinth_area) and 0d_blood_bone (death_world_gate_of_the_dead)
Swapping creatures 01_blood_skull (fire_world_phoenix_cave) and 02_blood_brain (earth_world_hostile_rock_cavern)
Swapping creatures 0d_blood_bone (water_world_watery_labyrinth_area) and 05_dwarfling (fire_world_molten_cavern)
Swapping creatures 01_stack_eyes (illusion_world_dream_domain) and 04_kabasaur (illusion_world_bewilderment_domain)
Swapping creatures 06_tongue_imp (water_world_watery_labyrinth_area) and 08_trickster (earth_world_poisonous_cavern)
Swapping creatures 0d_deha (death_world_dark_castle_layer) and 0d_trickster (water_world_watery_labyrinth_area)
Swapping creatures 0d_tondrom (monster_world_false_eye_area) and 0d_trickster (death_world_dark_castle_layer)
Swapping creatures 05_dweller (monster_world_false_eye_area) and 00_acid_slime (human_world_hidden_region)
Swapping creatures 06_skeleton (illusion_world_worship_domain) and 00_berzerker (monster_world_false_eye_area)
Swapping creatures 01_dark_spirits (death_world_gate_of_the_dead) and 00_dark_spider (death_world_dark_castle_layer)
Swapping creatures 05_hobble_worm (water_world_impure_pool_area) and 08_dark_spider (fire_world_burning_cavern)
Swapping creatures 00_night_howler (human_world_cursed_region) and 01_blood_slime (water_world_watery_labyrinth_area)
Swapping creatures 06_skeleton (monster_world_false_eye_area) and 01_blood_skull (earth_world_hostile_rock_cavern)
Swapping creatures 05_blood_skull (water_world_watery_labyrinth_area) and 04_berzerker (human_world_hidden_region)
Swapping creatures 05_armored_jinn (fire_world_phoenix_cave) and 00_kabasaur (earth_world_false_pit_cavern)
Swapping creatures 08_dark_spider (fire_world_phoenix_cave) and 01_blue_flicker (human_world_cursed_region)
Swapping creatures 08_star_serpent (death_world_gate_of_the_dead) and 09_cocoon_plant (earth_world_poisonous_cavern)
Swapping creatures 04_kiljoy (earth_world_quaking_cavern) and 00_earth_knight (earth_world_quaking_cavern)
