Spell Damage Data Table
Source: FDAT.T Part 481, Subpart 3 (2b64-3b54.sizedMixPart)
Runtime Address: 0x8018D73A (as found in debugging)
Total Entries: 170
Entry Size: 24 bytes (12 x uint16)

======================================================================================================================================================
Index  Offset   Val0   Val1   Val2   Val3   Val4   Val5   Val6   Val7   Val8   Val9   Val10  Val11 
28     0x02A0  0      0      10     0      0      0      0      0      0      0      0      0     
29     0x02B8  0      0      10     0      0      0      0      0      0      0      0      0     
30     0x02D0  0      0      10     0      0      0      0      0      0      0      0      0     
31     0x02E8  0      0      10     0      0      0      0      0      0      0      0      0     
32     0x0300  0      0      10     0      0      0      0      0      0      0      0      0     
33     0x0318  0      0      10     0      0      0      0      0      0      0      0      0     
34     0x0330  0      0      10     0      0      0      0      0      0      0      0      0     
35     0x0348  0      0      10     0      0      0      0      0      0      0      0      0     
36     0x0360  0      0      10     0      0      0      0      0      0      0      0      0     
37     0x0378  0      0      10     0      0      0      0      0      0      0      0      0     
38     0x0390  0      0      10     0      0      0      0      0      0      0      0      0     
39     0x03A8  0      0      10     0      0      0      0      0      0      0      0      0     
40     0x03C0  0      0      10     0      0      0      0      0      0      0      0      0     
41     0x03D8  0      0      10     0      0      0      0      0      0      0      0      0     
42     0x03F0  0      0      10     0      0      0      0      0      0      0      0      0     
43     0x0408  0      0      10     0      0      0      0      0      0      0      0      0     
44     0x0420  0      0      0      39     128    0      0      0      0      0      0      0     
45     0x0438  0      0      0      52     154    0      0      0      0      0      0      0     
46     0x0450  0      0      42     16     117    0      0      0      0      0      0      0     
47     0x0468  0      0      85     31     208    0      0      0      0      0      0      0     
48     0x0480  0      0      0      0      0      0      0      0      0      0      30     0     
49     0x0498  0      0      0      0      0      0      0      0      12     0      0      0     
50     0x04B0  0      0      0      0      0      0      0      15     0      0      0      7     
51     0x04C8  0      0      0      0      0      0      0      18     0      0      0      7     
52     0x04E0  0      0      0      0      0      0      0      0      0      0      12     96    
53     0x04F8  0      0      0      0      0      0      100    0      0      0      0      0     
54     0x0510  0      0      0      0      0      0      0      0      12     0      0      1024  
55     0x0528  0      0      0      0      0      0      0      14     0      0      0      7     
56     0x0540  0      0      0      0      0      0      0      0      0      0      30     0     
57     0x0558  0      0      0      0      0      0      0      21     0      0      0      7     
58     0x0570  0      0      70     132    44     0      0      0      0      0      0      0     
59     0x0588  0      0      0      0      0      0      0      0      0      0      0      24    
60     0x05A0  0      0      0      0      0      0      0      26     0      0      0      7     
61     0x05B8  0      0      0      0      0      0      0      0      0      26     0      0     
62     0x05D0  0      0      0      0      0      0      0      0      21     0      0      1024  
63     0x05E8  0      0      0      0      0      0      0      0      6      0      0      1024  
64     0x0600  0      0      0      0      0      0      0      0      0      0      278    0     
65     0x0618  0      0      0      0      0      0      0      20     0      0      0      7     
66     0x0630  0      0      0      0      0      0      0      6      0      0      0      7     
67     0x0648  0      0      0      0      0      0      0      0      16     0      0      0     
68     0x0660  0      0      0      0      0      0      0      0      0      0      0      128   
69     0x0678  0      0      0      0      0      0      0      20     0      0      0      7     
70     0x0690  0      0      0      0      0      0      0      0      0      21     0      0     
71     0x06A8  0      0      0      32     0      0      0      0      0      0      0      16384 
72     0x06C0  0      0      0      0      0      0      0      0      28     0      0      1024  
73     0x06D8  0      0      0      0      0      0      0      0      6      0      0      1024  
74     0x06F0  0      0      0      0      0      0      0      0      0      0      0      24    
75     0x0708  0      0      0      0      0      0      0      0      0      0      21     96    
76     0x0720  0      0      0      0      0      0      0      0      0      0      0      256   
77     0x0738  0      0      0      0      0      0      0      0      16     0      0      1024  
78     0x0750  0      0      0      0      0      0      0      0      0      0      0      128   
79     0x0768  0      0      0      0      0      0      0      18     0      0      0      7     
80     0x0780  0      0      0      0      0      0      0      0      0      0      0      24    
81     0x0798  0      0      0      0      0      0      0      0      21     0      0      1024  
82     0x07B0  0      0      0      0      0      0      0      0      0      38     0      0     
83     0x07C8  0      0      0      0      0      0      0      0      0      0      180    0     
84     0x07E0  0      0      0      0      0      0      0      0      0      0      0      24    
85     0x07F8  0      0      0      0      0      293    0      0      0      0      0      0     
86     0x0810  0      0      0      0      0      186    0      0      0      0      0      0     
87     0x0828  0      0      0      0      0      369    0      0      0      0      0      0     
88     0x0840  0      0      0      0      0      272    0      0      0      0      0      0     
89     0x0858  0      0      0      0      0      286    0      0      0      0      0      0     
90     0x0870  0      0      0      0      0      45     0      0      0      0      0      0     
91     0x0888  0      0      0      0      0      0      0      0      0      0      0      256   
92     0x08A0  0      0      0      0      0      283    0      0      0      0      0      0     
93     0x08B8  0      0      151    210    89     0      0      0      0      0      0      0     
94     0x08D0  0      0      0      0      0      143    0      0      0      0      0      0     
95     0x08E8  0      0      0      0      0      192    0      0      0      0      0      0     
96     0x0900  0      0      0      0      0      0      0      19     0      0      0      7     
97     0x0918  0      0      0      0      0      341    0      0      0      0      0      0     
98     0x0930  0      0      0      0      0      243    0      0      0      0      0      0     
99     0x0948  0      0      0      0      0      286    0      0      0      0      0      0     
100    0x0960  0      0      0      0      0      56     0      0      0      0      0      0     
101    0x0978  0      0      0      0      0      0      0      0      0      189    0      0     
102    0x0990  0      0      0      0      0      96     0      0      0      0      0      0     
103    0x09A8  0      0      0      0      0      274    0      0      0      0      0      0     
104    0x09C0  0      0      0      0      0      384    0      0      0      0      0      0     
105    0x09D8  0      0      0      0      0      192    0      0      0      0      0      0     
106    0x09F0  0      0      0      0      0      0      0      0      18     0      0      1024  
107    0x0A08  0      0      0      0      0      0      0      25     0      0      0      7     
108    0x0A20  0      0      0      0      0      0      0      0      28     0      0      1024  
109    0x0A38  0      0      0      0      0      0      0      0      8      0      0      1024  
110    0x0A50  0      0      0      0      0      0      0      22     0      0      0      7     
111    0x0A68  0      0      0      0      0      0      0      0      16     0      0      1024  
112    0x0A80  0      0      0      0      0      0      182    0      0      0      0      0     
113    0x0A98  0      0      0      0      0      0      0      0      35     0      0      1024  
114    0x0AB0  0      0      0      0      0      0      0      0      12     0      0      1024  
115    0x0AC8  0      0      0      0      0      0      0      0      0      0      26     96    
116    0x0AE0  0      0      0      319    0      0      192    0      0      0      0      0     
117    0x0AF8  0      0      0      0      0      0      0      0      0      387    0      0     
118    0x0B10  0      0      0      0      0      0      0      0      0      191    0      0     
119    0x0B28  0      0      0      0      0      0      0      0      0      171    0      0     
120    0x0B40  0      0      0      0      296    0      0      0      0      0      0      0     
121    0x0B58  0      0      0      0      301    81     0      0      0      0      0      0     
122    0x0B70  0      0      0      0      0      0      0      240    0      0      0      7     
123    0x0B88  0      0      0      0      0      0      0      36     0      0      0      7     
124    0x0BA0  0      0      0      0      0      0      0      0      0      368    0      0     
125    0x0BB8  0      0      0      0      0      192    0      0      0      0      0      0     
126    0x0BD0  0      0      0      0      0      51     0      0      0      0      0      0     
127    0x0BE8  0      0      0      0      0      0      0      0      0      0      28     0     
128    0x0C00  0      0      0      0      0      0      0      0      0      223    0      0     
129    0x0C18  0      0      0      0      0      0      0      0      0      71     0      0     
130    0x0C30  0      0      0      0      0      0      280    0      0      0      0      0     
131    0x0C48  0      0      0      0      0      0      0      0      0      0      62     0     
132    0x0C60  0      0      0      0      0      0      0      0      0      0      392    0     
133    0x0C78  0      0      0      0      0      0      0      0      0      0      64     96    
134    0x0C90  0      0      0      0      0      0      0      0      0      89     0      0     
135    0x0CA8  0      0      0      0      0      0      0      32     0      0      0      7     
136    0x0CC0  0      0      0      0      0      0      48     0      0      0      0      0     
137    0x0CD8  0      0      0      0      0      245    0      0      0      0      0      0     
138    0x0CF0  0      0      0      0      0      0      0      0      0      64     0      0     
139    0x0D08  0      0      0      0      0      0      0      0      0      162    0      0     
140    0x0D20  0      0      0      0      0      243    0      0      0      0      0      0     
141    0x0D38  0      0      0      0      0      0      250    0      0      0      0      0     
142    0x0D50  0      0      0      0      0      0      0      0      0      0      241    0     
143    0x0D68  0      0      0      0      0      0      0      0      0      0      25     96    
144    0x0D80  0      0      0      0      0      0      0      25     0      0      0      7     
145    0x0D98  0      0      0      0      0      0      0      0      0      232    0      0     
146    0x0DB0  0      0      0      0      0      0      0      56     0      0      0      7     
147    0x0DC8  0      0      0      0      0      0      0      0      83     0      0      1024  
148    0x0DE0  0      0      0      0      0      0      0      0      21     0      0      1024  
149    0x0DF8  0      0      0      0      0      242    0      0      0      0      0      0     
150    0x0E10  0      0      0      0      0      0      0      0      0      281    0      0     
151    0x0E28  0      0      0      0      0      324    0      0      0      0      0      0     
152    0x0E40  0      0      0      0      0      0      0      43     0      0      0      7     
153    0x0E58  0      0      0      0      0      0      0      0      0      0      46     96    
154    0x0E70  0      0      0      0      0      0      0      0      0      0      42     0     
155    0x0E88  0      0      0      98     0      0      0      0      0      0      0      0     
156    0x0EA0  0      0      0      0      0      242    0      0      0      0      0      0     
157    0x0EB8  0      0      0      0      0      0      0      0      0      0      0      24    
158    0x0ED0  0      0      0      0      0      293    0      0      0      0      0      0     
159    0x0EE8  0      0      0      0      0      0      0      32     0      0      0      7     
160    0x0F00  0      0      0      0      0      0      0      0      0      368    0      0     
161    0x0F18  0      0      0      0      0      192    0      0      0      0      0      0     
162    0x0F30  0      0      0      0      0      0      231    0      0      0      0      0     
163    0x0F48  0      0      0      0      0      0      0      0      58     0      0      1024  
164    0x0F60  0      0      0      0      0      0      0      0      0      0      0      24    
165    0x0F78  0      0      0      0      0      0      0      0      0      0      0      24    
166    0x0F90  0      0      0      0      0      0      0      0      0      184    0      0     
167    0x0FA8  0      0      0      0      0      0      0      0      0      0      381    0     
168    0x0FC0  0      0      0      0      0      0      0      0      0      291    0      0     
169    0x0FD8  0      0      0      0      0      0      0      0      0      0      272    0     
======================================================================================================================================================

Notes:
- Each entry contains 12 uint16 values (little-endian)
- These values are spell damage components used in func_0x8003e0a0()
- Loaded at addresses 0x8003e488, 0x8003e4f4, 0x8003e4f8 (s1, s3, s4 registers)
- Values are combined in a 6-iteration loop with distance modifiers
- Final damage = (accumulated_damage * spell_power) >> 12
