Creature Name,Power Score,HP,Area Score,Area,STR,SPD,DEF,BAL,SLA,SMH,PIR,SPR,FOC,HAM,PUR,PAR,MEL,SOL,Attack1,Attack2,Magic1,Physical Attacks (0x20),Magic Attacks (0x30)
00_unused_a,4522,6000,13,"death_world_gate_of_the_dead",2,0,0,0,0,0,0,0,0,0,12,5,0,1,200,230,0,"",""
0e_necron,4459,4800,11,"monster_world_screeching_area",12,5,0,0,3,2,8,2,2,0,1,0,3,3,85,90,22,"340/290/460; 100/120/400; 350/250/270","164/308; 163/279; 162/365"
0c_ebony_knight,4383,4270,11,"fire_world_ashen_cavern",0,7,0,0,0,0,4,11,3,9,0,1,0,0,70,50,14,"305/252/230; 225/230/305; 300/190/128","104; 105"
01_horned_skull,4173,1550,2,"human_world_cursed_region",0,2,0,0,0,0,2,0,0,0,0,1,0,1,26,26,0,"120/137/253","88/24"
05_horned_skull,4173,1550,16,"monster_world_false_eye_area",0,2,0,0,0,0,2,0,0,0,0,1,0,1,26,26,0,"120/137/253","88/24"
00_bone_demon,4150,1480,13,"death_world_lingering_curse_layer",0,0,0,0,0,1,0,1,0,0,0,1,0,3,20,22,0,"140/200/110","99/100/101"
05_doriwi,3981,4800,11,"monster_world_screeching_area",2,0,2,2,0,5,0,1,0,0,4,0,0,0,180,200,0,"300/320/450","59"
01_doriwi,3981,4800,16,"monster_world_false_eye_area",2,0,2,2,0,5,0,1,0,0,4,0,0,0,180,200,0,"300/320/450","59"
02_bone_wolf,3856,4100,1,"human_world_solitary_region",2,0,1,3,0,0,0,0,0,4,1,0,0,2,225,220,0,"250/420/250","59"
0a_bone_wolf,3856,4100,12,"water_world_sunken_river_area",2,0,1,3,0,0,0,0,0,4,1,0,0,2,225,220,0,"250/420/250","59"
08_oxelus,3779,5700,11,"fire_world_molten_cavern",0,3,0,0,6,0,2,0,0,0,0,0,0,0,63,58,0,"395/260/345; 145/120/185","158/24"
02_fire_jinn,3588,572,13,"illusion_world_bewilderment_domain",0,0,0,0,1,1,1,1,0,0,1,0,0,0,20,20,0,"120/115/95","88/27"
06_fire_jinn,3588,572,19,"water_world_watery_labyrinth_area",0,0,0,0,1,1,1,1,0,0,1,0,0,0,20,20,0,"120/115/95","88/27"
08_armored_guardian,3486,4200,12,"death_world_dark_castle_layer",7,0,1,0,2,2,0,0,0,0,1,2,0,0,100,80,36,"380/460/280; 365/335/240",""
0d_bugler,3425,4200,16,"monster_world_false_eye_area",2,0,0,0,0,0,0,10,0,0,0,0,0,0,170,180,0,"","240"
05_magi_magus,3276,3730,13,"water_world_white_rain_area",0,0,0,0,0,0,0,10,1,6,0,0,12,9,150,170,19,"","117/298; 118"
04_tree_ogre,3239,4900,12,"death_world_dark_castle_layer",0,0,0,0,0,0,0,2,0,1,2,0,3,2,69,69,0,"250/311/280","122/12"
06_armored_slayer,3235,3800,13,"death_world_undead_layer",0,0,3,0,3,2,0,0,0,0,0,0,2,0,120,90,0,"430/330/250; 340/440/310",""
0a_armored_slayer,3235,3800,13,"death_world_gate_of_the_dead",0,0,3,0,3,2,0,0,0,0,0,0,2,0,120,90,0,"430/330/250; 340/440/310",""
09_freak,3225,3600,16,"monster_world_false_eye_area",0,0,0,2,0,0,6,0,0,4,0,0,0,1,78,65,0,"210/280/370; 210/210/310; 240/230/260","71/232/380; 59"
0d_death_serpent,3187,4730,19,"water_world_watery_labyrinth_area",0,0,0,6,0,4,0,0,0,0,3,5,0,0,60,55,0,"355/430/265","166/82; 59"
0a_wizcrypha,3158,3200,11,"fire_world_ashen_cavern",0,0,2,0,0,0,0,5,3,0,3,3,3,1,200,240,0,"","133/24; 132/24; 76"
08_wyvern,3117,4500,2,"human_world_hidden_region",0,0,0,0,0,0,0,7,5,4,0,0,0,1,75,70,0,"180/150/220","230/293"
09_armored_warrior,3060,3900,1,"human_world_solitary_region",3,0,1,0,0,2,1,0,0,0,0,2,0,0,85,60,0,"430/350/260; 350/413/220",""
05_armored_warrior,3060,3900,13,"death_world_gate_of_the_dead",3,0,1,0,0,2,1,0,0,0,0,2,0,0,85,60,0,"430/350/260; 350/413/220",""
01_stack_eyes,2988,4150,8,"earth_world_hostile_rock_cavern",0,0,2,0,0,0,0,0,0,7,1,0,0,0,60,72,0,"310/380/305","131/11; 131/11; 131/11"
08_fester,2964,4650,14,"illusion_world_worship_domain",2,3,0,0,0,0,6,0,0,0,2,5,0,0,50,60,29,"","145"
0d_deha,2765,3360,11,"monster_world_screeching_area",2,0,0,0,0,0,0,2,0,0,0,0,5,0,40,40,38,"220/250/172; 210/270/152; 120/250/202","139/137"
0c_old_face,2751,3200,10,"water_world_impure_pool_area",2,0,3,2,0,0,3,0,1,0,0,0,0,1,120,110,0,"300/390/280","59; 68"
04_dragon_turtle,2745,4050,13,"water_world_white_rain_area",0,0,7,4,0,0,0,1,0,6,0,0,1,0,52,45,0,"228/370/220","116/115"
00_panak,2714,5100,13,"death_world_lingering_curse_layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"",""
05_old_face,2662,4100,11,"fire_world_ashen_cavern",0,0,0,0,0,0,0,0,4,3,3,0,0,1,62,92,0,"","128"
08_claw_head,2648,3600,13,"death_world_undead_layer",0,0,3,0,3,5,4,4,2,3,0,0,0,0,97,97,0,"240/120/160",""
02_karasu,2618,3800,19,"water_world_watery_labyrinth_area",0,2,0,1,0,0,1,0,0,2,1,0,1,5,69,65,0,"310/288/213",""
0a_cursed_demon,2595,3780,12,"illusion_world_gloomy_domain",0,0,0,2,0,0,0,4,4,0,2,0,0,0,60,55,0,"390/200/325","76"
08_apocrypha,2564,2000,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,3,0,1,2,0,0,0,180,220,0,"","225/100; 225/100"
06_oblid,2547,3500,10,"water_world_impure_pool_area",0,2,0,0,0,7,0,0,0,0,1,0,0,0,43,35,0,"243/330/271; 320/280/225",""
00_master_knight,2529,3200,10,"water_world_impure_pool_area",2,2,3,0,2,0,0,0,0,0,0,0,0,0,62,55,0,"380/260/210; 200/160/390",""
08_war_demon_1,2529,3500,12,"illusion_world_gloomy_domain",3,1,0,0,1,0,3,0,0,0,0,2,0,0,45,40,0,"290/285/150; 295/305/110",""
09_descrypha,2430,1800,14,"illusion_world_worship_domain",0,0,0,0,0,0,0,3,0,1,0,0,2,0,180,220,0,"","228/100; 228/100"
01_disguise,2375,2700,15,"illusion_world_dream_domain",0,5,0,0,0,0,0,21,7,3,8,0,0,0,90,110,20,"","151; 150/23"
01_gorthaur,2292,3450,14,"illusion_world_worship_domain",0,0,0,0,0,0,0,0,10,7,1,0,0,0,30,36,27,"195/110/180","146"
0d_saurian_warrior_b,2193,2800,11,"fire_world_molten_cavern",1,0,3,0,4,0,0,0,0,0,0,1,0,0,36,50,0,"255/350/175","59"
0c_saurian_warrior_a,2175,2800,7,"earth_world_false_pit_cavern",0,1,3,2,3,0,0,0,0,0,0,0,0,0,36,50,0,"355/280/175",""
04_king_hopper,2090,3230,12,"water_world_sunken_river_area",1,0,0,0,0,6,0,0,0,0,0,0,0,0,59,59,0,"","159/1"
09_war_demon_2,1993,2800,2,"human_world_hidden_region",2,0,2,0,0,4,0,0,0,0,0,2,0,0,45,40,0,"290/125/110; 205/75/60",""
00_dark_spirits,1980,2040,12,"illusion_world_gloomy_domain",1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,40,0,"","153/8; 154/91; 152/92"
00_hell_hunter,1952,3600,11,"fire_world_ashen_cavern",0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,"","120/11; 121/11"
0e_claw_head,1952,3600,13,"death_world_undead_layer",0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,"","120/11; 121/11"
04_dread_knight,1949,2400,8,"earth_world_hostile_rock_cavern",10,0,0,3,8,6,0,0,0,0,0,4,0,7,45,40,11,"190/145/112; 110/155/245","84"
04_dark_spirits,1942,2040,2,"human_world_cursed_region",0,2,0,0,0,0,3,0,0,0,0,0,1,2,35,40,0,"120/140/370; 355/110/125",""
00_red_puppet,1942,2040,13,"death_world_gate_of_the_dead",0,2,0,0,0,0,3,0,0,0,0,0,1,2,35,40,0,"120/140/370; 355/110/125",""
05_dark_spirits,1925,2040,12,"illusion_world_gloomy_domain",0,2,0,0,0,0,3,0,0,0,0,0,1,2,35,40,0,"115/135/290; 375/105/135",""
01_dark_spirits,1925,2040,13,"illusion_world_bewilderment_domain",0,2,0,0,0,0,3,0,0,0,0,0,1,2,35,40,0,"115/135/290; 375/105/135",""
04_zygote,1872,2000,9,"fire_world_phoenix_cave",0,0,1,0,2,0,0,3,1,0,0,0,0,0,40,36,0,"155/298/140","102; 244"
08_hermit_crab,1832,2420,5,"earth_world_poisonous_cavern",0,0,0,0,0,0,0,3,0,0,5,0,0,3,40,35,0,"250/320/270","157"
0c_death_mage,1809,1800,9,"fire_world_phoenix_cave",0,0,0,0,0,0,0,1,5,0,2,0,0,0,75,85,0,"170/80/100","142"
09_pulsating_heart,1767,2000,13,"death_world_undead_layer",6,2,0,0,6,0,1,6,0,0,6,4,4,4,0,0,0,"150/100/140","127/40/84"
04_demon_warrior,1709,1880,16,"monster_world_false_eye_area",2,1,0,0,1,1,2,1,0,0,0,0,0,1,50,50,0,"248/145/270; 180/175/150","143"
0d_blood_bone,1685,2820,10,"water_world_impure_pool_area",0,3,0,0,3,0,0,1,3,0,2,3,0,3,0,0,0,"250/205/150","76"
09_koazul,1678,1540,11,"monster_world_screeching_area",2,0,0,0,1,0,1,3,0,0,0,0,0,1,38,40,0,"260/110/230; 270/140/260","113/38"
09_dementor,1674,2270,6,"earth_world_quaking_cavern",4,0,1,0,0,0,3,1,0,0,0,1,0,1,30,23,0,"250/160/132; 195/150/118",""
0e_dinogon,1626,2020,19,"water_world_watery_labyrinth_area",0,3,0,0,0,2,0,0,0,1,0,4,0,0,42,38,0,"165/368/260","156/57"
0d_slasher,1566,1620,10,"water_world_impure_pool_area",0,2,0,0,5,0,0,0,0,0,0,0,0,0,40,40,0,"255/125/195","115/398/405"
04_kabasaur,1556,1700,11,"fire_world_molten_cavern",3,0,0,1,0,2,0,1,0,0,0,0,1,0,40,34,0,"305/250/140; 230/300/115",""
00_kabasaur,1556,1700,11,"fire_world_molten_cavern",3,0,0,1,0,2,0,1,0,0,0,0,1,0,40,34,0,"305/250/140; 230/300/115",""
04_great_frog,1529,2740,1,"human_world_solitary_region",5,0,2,0,0,0,0,1,0,0,4,0,4,0,8,8,0,"",""
01_chirper,1484,2520,10,"fire_world_burning_cavern",5,0,0,0,0,0,0,0,0,0,3,0,0,0,24,20,0,"","59"
0e_manna_python,1414,1980,6,"earth_world_quaking_cavern",2,0,0,0,0,2,0,0,0,0,0,0,2,0,32,27,0,"145/190/140","112/3"
08_ring_demon,1410,2050,12,"illusion_world_gloomy_domain",0,0,0,0,0,0,0,0,1,2,3,0,0,0,32,40,0,"","235/7"
05_water_knight,1352,1580,11,"monster_world_screeching_area",0,0,2,0,0,1,4,0,0,1,0,0,1,0,40,36,0,"135/185/100; 135/185/100",""
05_master_howler,1325,1450,16,"monster_world_false_eye_area",8,0,0,0,0,0,0,2,0,0,0,1,5,8,40,30,0,"360/355/260",""
05_hell_hunter,1323,2100,2,"human_world_cursed_region",0,0,1,2,1,1,2,1,2,1,1,0,0,2,15,14,0,"140/120/105",""
0a_dark_bishop,1296,1560,12,"death_world_dark_castle_layer",0,0,0,0,0,0,0,2,3,0,0,0,0,1,14,35,0,"130/250/97","137"
09_cross_breed,1286,1800,14,"illusion_world_worship_domain",0,0,0,0,0,0,0,1,1,1,1,0,0,2,25,30,0,"","149/56/89; 59"
00_winged_worm,1250,1720,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,0,2,0,3,0,0,0,52,45,0,"","119; 59"
0d_arachness,1237,1270,11,"monster_world_screeching_area",1,1,0,0,0,0,0,3,4,0,0,1,0,0,36,36,0,"245/180/140","96; 87"
04_berzerker,1175,1380,5,"earth_world_poisonous_cavern",1,1,1,1,0,1,0,0,0,0,0,2,0,0,35,28,0,"180/243/121","89"
01_berzerker,1175,1380,9,"fire_world_phoenix_cave",1,1,1,1,0,1,0,0,0,0,0,2,0,0,35,28,0,"180/243/121","89"
00_berzerker,1175,1380,10,"fire_world_burning_cavern",1,1,1,1,0,1,0,0,0,0,0,2,0,0,35,28,0,"180/243/121","89"
08_berzerker,1175,1380,10,"fire_world_burning_cavern",1,1,1,1,0,1,0,0,0,0,0,2,0,0,35,28,0,"180/243/121","89"
0c_worm_face,1145,1410,11,"fire_world_molten_cavern",3,0,0,1,0,0,0,0,2,0,0,0,1,0,30,30,0,"135/150/110","108/126"
05_armored_jinn,1111,720,19,"water_world_watery_labyrinth_area",0,0,0,0,1,1,1,1,1,0,0,1,0,0,25,25,0,"250/200/172","87/7"
0d_damned_angel,1078,1280,11,"fire_world_ashen_cavern",3,0,0,0,0,0,0,2,4,0,0,0,2,0,30,40,0,"","101"
06_black_imp,1060,1040,5,"earth_world_rotting_cavern",0,0,0,0,0,0,0,4,0,0,7,0,0,3,15,20,0,"","245; 76"
02_dark_imp,1060,1040,5,"earth_world_poisonous_cavern",0,0,0,0,0,0,0,4,0,0,7,0,0,3,15,20,0,"","245; 76"
04_auriel_b,1041,1000,5,"earth_world_poisonous_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,9,"",""
08_clay_servant,988,980,6,"earth_world_stone_cavern",2,0,2,2,0,0,0,0,0,0,0,0,0,0,27,26,0,"102/275/96; 128/196/86",""
01_earth_knight,971,970,7,"earth_world_false_pit_cavern",0,3,2,0,2,0,0,1,0,2,0,0,0,1,30,26,0,"122/88/62; 65/42/124; 45/22/194",""
05_earth_knight,971,970,11,"fire_world_ashen_cavern",0,3,2,0,2,0,0,1,0,2,0,0,0,1,30,26,0,"122/88/62; 65/42/124; 45/22/194",""
00_earth_knight,971,970,13,"death_world_gate_of_the_dead",0,3,2,0,2,0,0,1,0,2,0,0,0,1,30,26,0,"122/88/62; 65/42/124; 45/22/194",""
08_torg,970,1200,12,"water_world_sunken_river_area",2,0,1,2,0,1,0,0,0,0,0,0,0,0,30,20,0,"98/200/42","71/173"
00_night_howler,959,950,5,"earth_world_rotting_cavern",2,2,0,0,0,0,0,0,0,0,0,0,1,0,34,27,0,"320/245/236",""
04_night_howler,959,950,10,"fire_world_burning_cavern",2,2,0,0,0,0,0,0,0,0,0,0,1,0,34,27,0,"320/245/236",""
00_black_onyx,946,750,12,"death_world_dark_castle_layer",0,0,0,1,0,0,0,1,1,0,1,0,0,2,26,28,0,"142/120/90","211/55"
06_warpoor,936,1120,12,"illusion_world_gloomy_domain",1,0,0,3,0,0,1,0,0,0,0,1,2,0,28,30,0,"","147; 246"
0a_warpoor,936,1120,14,"illusion_world_worship_domain",1,0,0,3,0,0,1,0,0,0,0,1,2,0,28,30,0,"","147; 246"
09_iron_crusher,930,1100,14,"illusion_world_worship_domain",0,0,0,0,0,3,0,0,0,0,0,1,2,0,24,22,0,"","93/0; 92/115/116"
09_dark_fairy,930,1032,15,"illusion_world_dream_domain",0,0,0,0,0,0,0,0,1,0,2,0,0,2,20,24,0,"","135/122/159"
0d_dweller,930,1100,19,"water_world_watery_labyrinth_area",0,0,0,0,0,3,0,0,0,0,0,1,2,0,24,22,0,"","93/0; 92/115/116"
0e_rotting_face,920,420,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,5,5,1,0,0,0,7,80,88,0,"","76; 144"
0a_rotting_face,920,420,13,"death_world_undead_layer",0,0,0,0,0,0,0,5,5,1,0,0,0,7,80,88,0,"","76; 144"
0c_ray_plant,891,1080,13,"death_world_lingering_curse_layer",0,0,0,0,5,0,0,0,5,0,0,0,0,0,16,15,0,"","208/175; 245"
04_kiljoy,886,720,2,"human_world_hidden_region",0,2,0,0,4,0,0,0,0,0,0,0,0,0,20,20,0,"180/59/112; 191/65/122; 201/85/164",""
08_guardian_b,886,870,7,"earth_world_false_pit_cavern",1,0,0,0,0,0,1,1,1,0,0,0,0,1,15,16,0,"92/70/148; 92/70/218","200/1"
0e_mystic_tower,854,1050,7,"earth_world_false_pit_cavern",1,0,0,0,0,0,0,0,0,1,0,1,0,0,20,20,0,"","216/13; 91"
02_mystic_tower,854,1050,10,"fire_world_burning_cavern",1,0,0,0,0,0,0,0,0,1,0,1,0,0,20,20,0,"","216/13; 91"
06_mystic_tower,854,1050,10,"fire_world_burning_cavern",1,0,0,0,0,0,0,0,0,1,0,1,0,0,20,20,0,"","216/13; 91"
02_gordoral,821,850,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,0,0,0,1,5,0,0,26,26,0,"","238/0"
06_gordoral,821,850,13,"death_world_lingering_curse_layer",0,0,0,0,0,0,0,0,0,0,1,5,0,0,26,26,0,"","238/0"
05_warden,817,1110,12,"death_world_dark_castle_layer",0,0,5,0,0,0,0,0,0,0,0,3,0,0,12,16,0,"","165/26"
0a_dweller,787,1160,6,"earth_world_quaking_cavern",1,0,0,1,0,0,0,0,0,1,0,0,1,0,18,20,0,"","110"
06_dweller,787,1160,16,"monster_world_false_eye_area",1,0,0,1,0,0,0,0,0,1,0,0,1,0,18,20,0,"","110"
0c_gaze_hopper,758,650,12,"death_world_dark_castle_layer",0,0,1,0,0,0,0,1,2,0,0,0,0,2,24,25,0,"155/286/125","111/35"
05_gargaral,751,750,12,"illusion_world_gloomy_domain",0,0,0,0,0,0,0,0,0,0,1,5,0,0,26,26,0,"","140"
01_gargaral,751,750,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,0,0,0,1,5,0,0,26,26,0,"","140"
02_sand_leech_b,715,700,6,"earth_world_quaking_cavern",1,0,0,0,1,1,1,0,0,0,1,0,0,0,24,24,0,"82/40/153",""
02_dead_abraxus,687,1,11,"fire_world_molten_cavern",0,0,0,0,0,0,0,5,2,1,0,5,0,4,80,90,12,"",""
0a_barrel_snail,681,560,6,"earth_world_stone_cavern",1,0,3,1,0,0,0,0,0,0,0,0,0,0,23,20,0,"93/60/155; 130/80/65","79"
09_sloth_bug,681,560,16,"monster_world_false_eye_area",1,0,3,1,0,0,0,0,0,0,0,0,0,0,23,20,0,"93/60/155; 130/80/65","79"
0c_maristella,675,820,13,"death_world_lingering_curse_layer",0,0,0,0,0,0,0,0,3,0,2,0,0,0,20,30,0,"","136; 68"
05_hobble_worm,655,620,6,"earth_world_stone_cavern",0,0,0,0,0,0,0,1,0,2,0,0,0,2,25,20,0,"90/152/78","77/72; 78"
01_myconid,630,850,1,"human_world_solitary_region",2,0,0,0,0,0,0,3,0,0,0,0,0,0,14,13,0,"62/95/50","60/4"
02_horned_slime,617,620,8,"earth_world_hostile_rock_cavern",0,0,1,0,0,0,0,0,0,0,1,0,1,0,14,14,0,"80/115/125","106/102"
01_horned_slime,617,620,11,"fire_world_ashen_cavern",0,0,1,0,0,0,0,0,0,0,1,0,1,0,14,14,0,"80/115/125","106/102"
05_horned_slime,617,620,13,"death_world_gate_of_the_dead",0,0,1,0,0,0,0,0,0,0,1,0,1,0,14,14,0,"80/115/125","106/102"
0a_horned_slime,617,620,13,"death_world_gate_of_the_dead",0,0,1,0,0,0,0,0,0,0,1,0,1,0,14,14,0,"80/115/125","106/102"
09_cocoon_plant,565,320,6,"earth_world_quaking_cavern",0,0,0,2,0,0,0,0,0,2,0,0,0,0,15,15,0,"64/50/108","74/275/318"
02_blood_brain,561,590,6,"earth_world_quaking_cavern",0,0,0,0,0,0,0,0,0,0,0,2,1,0,14,14,0,"50/125/86","107/33"
05_blood_brain,561,590,7,"earth_world_false_pit_cavern",0,0,0,0,0,0,0,0,0,0,0,2,1,0,14,14,0,"50/125/86","107/33"
08_casket,552,261,7,"earth_world_false_pit_cavern",0,0,0,0,0,0,0,1,1,1,2,0,0,1,20,25,0,"","243"
0d_trickster,527,380,11,"fire_world_ashen_cavern",0,0,0,0,1,0,0,1,0,0,0,0,4,2,15,18,0,"50/80/120","62; 242"
04_cannon_snail,520,640,5,"earth_world_rotting_cavern",0,0,2,0,0,0,0,1,0,0,0,0,2,0,20,17,0,"","81/2/4"
06_elder,515,608,5,"earth_world_rotting_cavern",0,0,0,1,0,1,1,0,0,0,0,2,1,0,14,14,0,"58/45/125","59"
02_elder,515,608,5,"earth_world_rotting_cavern",0,0,0,1,0,1,1,0,0,0,0,2,1,0,14,14,0,"58/45/125","59"
0e_elder,515,608,5,"earth_world_rotting_cavern",0,0,0,1,0,1,1,0,0,0,0,2,1,0,14,14,0,"58/45/125","59"
0a_guardian_a,510,480,2,"human_world_cursed_region",1,0,0,0,0,0,1,1,1,0,0,0,0,1,15,16,0,"30/33/91","200/1"
09_dwarf_warrior,469,382,2,"human_world_hidden_region",1,0,0,0,1,0,0,0,0,1,0,0,0,0,15,15,0,"64/40/101; 64/40/131",""
06_fanged_worm,458,434,2,"human_world_hidden_region",1,0,0,2,0,0,0,0,1,2,0,0,0,0,14,15,0,"24/63/23","51/150"
01_beak_plant,449,480,12,"illusion_world_gloomy_domain",0,1,0,1,0,0,0,0,0,1,0,0,0,0,15,15,0,"50/65/90","68"
0c_dybbuk,445,520,6,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"","75"
08_star_serpent,443,454,2,"human_world_cursed_region",0,0,0,2,0,1,0,0,0,1,0,0,0,0,15,15,0,"65/79/62","58"
00_dybbuk,423,520,6,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"",""
04_dybbuk,423,520,6,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,10,"",""
02_watcher_plant,390,354,2,"human_world_cursed_region",0,0,0,0,1,0,0,0,0,0,1,0,1,0,12,12,0,"42/65/40","202/14"
00_duhrin,390,600,5,"earth_world_poisonous_cavern",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,"",""
00_watcher_plant,390,354,5,"earth_world_poisonous_cavern",0,0,0,0,1,0,0,0,0,0,1,0,1,0,12,12,0,"42/65/40","202/14"
0e_watcher_plant,390,354,12,"illusion_world_gloomy_domain",0,0,0,0,1,0,0,0,0,0,1,0,1,0,12,12,0,"42/65/40","202/14"
0c_barrel_snail,388,560,5,"earth_world_rotting_cavern",0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,7,0,"","57/2/4"
02_parasite,386,220,12,"death_world_dark_castle_layer",2,0,0,0,0,0,0,2,0,1,2,0,0,2,12,12,0,"78/86/89; 78/76/82",""
0a_skeleton,374,384,5,"earth_world_rotting_cavern",0,1,0,1,1,0,0,0,0,0,0,0,0,1,15,14,0,"83/35/20",""
02_skeleton,374,384,12,"death_world_dark_castle_layer",0,1,0,1,1,0,0,0,0,0,0,0,0,1,15,14,0,"83/35/20",""
01_blue_flicker,366,440,10,"fire_world_burning_cavern",0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,6,0,"","205/8"
0d_tondrom,362,280,8,"earth_world_hostile_rock_cavern",0,0,1,0,0,2,0,0,0,0,0,0,0,0,15,14,0,"36/121/42",""
02_lizard_servant,355,1,16,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,30,"",""
06_lizard_servant,355,1,16,"monster_world_false_eye_area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,30,"",""
00_gorgoral,342,100,13,"illusion_world_bewilderment_domain",0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,37,"",""
01_acid_pod,333,320,2,"human_world_hidden_region",0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,12,0,"","62/80"
0d_cocoon_plant,333,320,5,"earth_world_poisonous_cavern",0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,12,0,"","62/80"
05_acid_pod,333,320,10,"water_world_impure_pool_area",0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,12,0,"","62/80"
05_cocoon_plant,333,320,13,"death_world_gate_of_the_dead",0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,12,0,"","62/80"
08_trickster,331,380,7,"earth_world_false_pit_cavern",0,0,1,1,0,0,0,0,1,0,0,0,0,0,12,10,0,"","67/59"
0d_crying_root,318,350,6,"earth_world_stone_cavern",0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,0,"","80"
00_acid_skull,316,280,3,"human_world_forgotten_region",0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,10,0,"16/16/23","54"
04_minor_dwarf,314,308,13,"illusion_world_bewilderment_domain",1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,0,"45/90/26",""
01_blood_skull,295,263,3,"human_world_forgotten_region",0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,9,0,"15/13/21","55"
